Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-03 181206

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.5, 1.0]
                          setSocialForce :,  	[-0.5, 0.5]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 183519, 6,                    0,                  0.5,                  1.0,66,91.67,79.56,0.00
 2014-05-03 183531, 6,                    0,                  0.5,                  1.0,54,90.70,79.61,0.00
averages: ,                    0,                  0.5,                  1.0,62,90.70,79.96,0.00
standard deviations: ,                    0,                  0.5,                  1.0,12,0.46,0.73,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 183542, 7,                  0.5,                 -0.5,                 0.01,53,89.98,80.14,0.00
 2014-05-03 183552, 7,                  0.5,                 -0.5,                 0.01,56,91.96,80.04,0.00
 2014-05-03 183603, 7,                  0.5,                 -0.5,                 0.01,57,90.42,79.76,0.00
 2014-05-03 183614, 7,                  0.5,                 -0.5,                 0.01,55,91.03,80.26,0.00
 2014-05-03 183624, 7,                  0.5,                 -0.5,                 0.01,50,90.22,79.20,0.00
 2014-05-03 183634, 7,                  0.5,                 -0.5,                 0.01,58,90.38,79.84,0.00
 2014-05-03 183646, 7,                  0.5,                 -0.5,                 0.01,54,90.82,79.89,0.00
 2014-05-03 183658, 7,                  0.5,                 -0.5,                 0.01,74,91.75,81.50,0.00
 2014-05-03 183711, 7,                  0.5,                 -0.5,                 0.01,67,91.43,80.41,0.00
 2014-05-03 183723, 7,                  0.5,                 -0.5,                 0.01,59,90.26,80.40,0.00
 2014-05-03 183735, 7,                  0.5,                 -0.5,                 0.01,54,90.50,79.66,0.00
 2014-05-03 183746, 7,                  0.5,                 -0.5,                 0.01,66,90.22,79.81,0.00
 2014-05-03 183759, 7,                  0.5,                 -0.5,                 0.01,61,90.30,79.70,0.00
 2014-05-03 183811, 7,                  0.5,                 -0.5,                 0.01,69,90.50,79.93,0.00
 2014-05-03 183824, 7,                  0.5,                 -0.5,                 0.01,57,89.85,79.21,0.00
 2014-05-03 183836, 7,                  0.5,                 -0.5,                 0.01,52,91.27,80.23,0.00
 2014-05-03 183847, 7,                  0.5,                 -0.5,                 0.01,51,91.15,79.06,0.00
 2014-05-03 183858, 7,                  0.5,                 -0.5,                 0.01,77,90.30,78.63,0.00
 2014-05-03 183912, 7,                  0.5,                 -0.5,                 0.01,59,90.91,79.34,0.00
 2014-05-03 183924, 7,                  0.5,                 -0.5,                 0.01,65,90.10,80.05,0.00
averages: ,                  0.5,                 -0.5,                 0.01,59,90.67,79.85,0.00
standard deviations: ,                  0.5,                 -0.5,                 0.01, 7,0.58,0.59,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 183937, 8,                  0.5,                 -0.5,                  0.1,52,91.84,80.54,0.00
 2014-05-03 183948, 8,                  0.5,                 -0.5,                  0.1,57,90.66,79.56,0.00
 2014-05-03 184002, 8,                  0.5,                 -0.5,                  0.1,54,91.55,81.47,0.00
 2014-05-03 184015, 8,                  0.5,                 -0.5,                  0.1,64,90.46,78.12,0.00
 2014-05-03 184030, 8,                  0.5,                 -0.5,                  0.1,53,91.51,81.31,0.00
 2014-05-03 184043, 8,                  0.5,                 -0.5,                  0.1,52,90.70,78.12,0.00
 2014-05-03 184055, 8,                  0.5,                 -0.5,                  0.1,67,90.86,79.98,0.00
 2014-05-03 184110, 8,                  0.5,                 -0.5,                  0.1,56,89.73,80.07,0.00
 2014-05-03 184124, 8,                  0.5,                 -0.5,                  0.1,59,91.39,78.65,0.00
 2014-05-03 184137, 8,                  0.5,                 -0.5,                  0.1,60,89.37,77.30,0.00
 2014-05-03 184151, 8,                  0.5,                 -0.5,                  0.1,53,90.91,79.36,0.00
 2014-05-03 184204, 8,                  0.5,                 -0.5,                  0.1,53,91.11,81.53,0.00
 2014-05-03 184217, 8,                  0.5,                 -0.5,                  0.1,52,90.42,80.78,0.00
 2014-05-03 184229, 8,                  0.5,                 -0.5,                  0.1,72,91.03,80.51,0.00
 2014-05-03 184245, 8,                  0.5,                 -0.5,                  0.1,55,90.74,79.27,0.00
 2014-05-03 184304, 8,                  0.5,                 -0.5,                  0.1,54,90.91,79.54,0.00
