Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-01 000720

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
                    setSocialTemperature :,  	1.0
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.25, 0.5, 0.75, 1.0]
                          setSocialForce :,  	[-0.5, 0, 0.5]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 14,                  1.0,                    0,50,100.00,50.25,1.00
 14,                  1.0,                    0,50,100.00,49.66,1.00
 14,                  1.0,                    0,50,100.00,49.20,1.00
 14,                  1.0,                    0,50,100.00,48.98,1.00
averages: ,                  1.0,                    0,50,100.00,49.77,1.00
standard deviations: ,                  1.0,                    0, 0,0.00,0.43,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,1.0
                          setSocialForce :	,0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 15,                  1.0,                  0.5,50,100.00,50.03,1.00
 15,                  1.0,                  0.5,50,100.00,49.87,1.00
 15,                  1.0,                  0.5,50,100.00,50.97,1.00
 15,                  1.0,                  0.5,50,100.00,50.68,1.00
 15,                  1.0,                  0.5,50,100.00,49.68,1.00
 15,                  1.0,                  0.5,50,100.00,50.26,1.00
 15,                  1.0,                  0.5,50,100.00,49.96,1.00
 15,                  1.0,                  0.5,50,100.00,50.09,1.00
 15,                  1.0,                  0.5,50,100.00,51.51,1.00
 15,                  1.0,                  0.5,50,100.00,50.19,1.00
 15,                  1.0,                  0.5,50,100.00,50.34,1.00
 15,                  1.0,                  0.5,50,100.00,50.64,1.00
 15,                  1.0,                  0.5,50,100.00,49.66,1.00
 15,                  1.0,                  0.5,50,100.00,49.62,1.00
 15,                  1.0,                  0.5,50,100.00,50.64,1.00
 15,                  1.0,                  0.5,50,100.00,49.76,1.00
 15,                  1.0,                  0.5,50,100.00,49.67,1.00
 15,                  1.0,                  0.5,50,100.00,50.29,1.00
 15,                  1.0,                  0.5,50,100.00,49.52,1.00
 15,                  1.0,                  0.5,50,100.00,50.46,1.00
averages: ,                  1.0,                  0.5,50,100.00,50.19,1.00
standard deviations: ,                  1.0,                  0.5, 0,0.00,0.50,0.00
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 1,                    0,                 -0.5,54,90.61,80.11,0.00
 2,                    0,                    0,59,90.58,79.97,0.00
 3,                    0,                  0.5,55,90.63,79.48,0.00
 4,                 0.25,                 -0.5,57,91.43,75.95,0.07
 5,                 0.25,                    0,58,92.12,70.87,0.27
 6,                 0.25,                  0.5,54,97.22,54.75,0.76
 7,                  0.5,                 -0.5,55,91.81,72.01,0.15
 8,                  0.5,                    0,54,94.55,61.96,0.56
 9,                  0.5,                  0.5,52,98.22,52.92,0.85
 10,                 0.75,                 -0.5,55,92.14,68.91,0.23
 11,                 0.75,                    0,55,97.36,55.30,0.81
 12,                 0.75,                  0.5,51,99.13,51.55,0.93
 13,                  1.0,                 -0.5,50,100.00,50.02,1.00
 14,                  1.0,                    0,50,100.00,49.77,1.00
 15,                  1.0,                  0.5,50,100.00,50.19,1.00
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 1,                    0,                 -0.5, 3,0.47,1.20,0.00
 2,                    0,                    0,10,0.63,1.27,0.00
 3,                    0,                  0.5, 4,0.50,1.21,0.00
 4,                 0.25,                 -0.5, 6,0.58,1.02,0.00
 5,                 0.25,                    0, 9,0.72,3.27,0.10
 6,                 0.25,                  0.5, 3,0.28,0.75,0.01
 7,                  0.5,                 -0.5, 7,0.54,1.13,0.01
 8,                  0.5,                    0, 4,1.08,2.39,0.10
 9,                  0.5,                  0.5, 2,0.22,0.50,0.01
 10,                 0.75,                 -0.5, 6,0.60,0.88,0.01
 11,                 0.75,                    0, 5,0.90,1.69,0.06
 12,                 0.75,                  0.5, 1,0.13,0.63,0.01
 13,                  1.0,                 -0.5, 0,0.00,0.44,0.00
 14,                  1.0,                    0, 0,0.00,0.43,0.00
 15,                  1.0,                  0.5, 0,0.00,0.50,0.00
######################################################
Experiment Completed 2014-05-01 004453
######################################################

